antibody,wt,B.1.1.7,B.1.351,P.1,B.1.617,B.1.429,BA.1.1,BA.2,XBB.1.5,JN.1
REGN10933,1,1,1,0,1,1,0,0,0,0
REGN10987,1,1,1,1,1,1,0,1,0,0
COV2-2196,1,1,1,1,1,1,1,1,0,0
AZD1061,1,1,1,1,1,1,0,0,0,0
LY-CoV016,1,1,0,0,1,1,0,0,0,0
LY-CoV555,1,1,0,0,0,0,0,0,0,0
S2D106,1,1,1,1,1,1,1,1,0,0
S2E12,1,1,1,1,1,1,1,1,0,0
S2H97,1,1,1,1,1,1,1,0,0,0
S2X259,1,1,1,1,1,1,0,0,0,0
C002,1,0,0,0,0,0,0,0,0,0
C110,1,1,0,0,1,1,0,0,0,0
C135,1,1,1,1,1,0,0,0,0,0
C144,1,1,0,0,1,0,0,0,0,0
47D11,1,1,1,1,1,1,0,0,0,0
BRII-196,1,1,1,1,1,1,1,1,0,0
ADG-2,1,1,1,1,1,1,1,0,0,0
BD-604,1,1,1,1,1,1,1,1,0,0
