,antibody,widltype,Hchain,lchain,Rchain,crystal,receptor
0,REGN10933,1,B,D,E,6xdg,wuhu-1
44848,CAB-A17,0,E,F,A,8c2r,wuhu-1
48859,COVOX-222,0,H,L,A,7q9g,wuhu-1
49059,BD55-1403,0,A,B,R,7y0c,wuhu-1
49118,BD-804,0,H,L,R,7eya,wuhu-1
49120,BD55-3546,0,H,L,R,7wry,wuhu-1
50648,BD55-3500,0,H,L,R,7wsc,wuhu-1
51601,BD55-3372,0,H,L,R,7wro,wuhu-1
51721,P2B-2F6,0,H,L,E,8dcc,wuhu-1
60718,XGv-282,0,H,L,E,7wlc,BA.1
60723,BD55-4637,0,A,B,R,7wrj,BA.1
60731,XGv-265,0,H,L,E,7wee,BA.1
60734,XGv-264,0,H,L,E,7wth,BA.1
60736,XGv-286,0,H,L,E,7wtj,BA.1
60879,BD55-5840,0,H,L,R,7y0w,BA.1
61119,XGv-347,0,H,L,E,7wed,BA.1
61126,BD55-1239,0,A,B,R,7wrl,BA.1
61156,BD-813,0,H,L,R,7ey0,BA.1
61160,BD-744,0,A,B,R,7ey0,BA.1
61168,BD-667,0,H,L,R,7ey4,BA.1
61200,BD-812,0,H,L,A,7ezv,BA.1
61339,BD-821,0,B,C,A,7ey5,BA.1
61355,XGv-051,0,H,L,E,7wtg,BA.1
61450,BD55-5514,0,A,B,R,7y0w,BA.1
0,COV2-2196,1,C,B,A,8d8q,
16,AZD1061,1,C,D,G,7l7e,wuhu-1
32,CR3022,1,H,L,C,6w41,wuhu-1
48,LY-CoV016,1,H,L,A,7c01,wuhu-1
64,LY-CoV555,1,A,B,C,7kmg,wuhu-1
80,REGN10987,1,C,A,E,6xdg,wuhu-1
96,S2D106,1,H,L,E,7r7n,wuhu-1
112,S2E12,1,C,D,R,7r6x,wuhu-1
128,S2H13,1,H,L,A,7jv4,wuhu-1
144,S2H14,1,C,D,R,7jx3,wuhu-1
160,S2H97,1,C,D,S,7m7w,wuhu-1
176,S2X259,1,H,L,R,7m7w,wuhu-1
192,S2X35,1,H,L,R,7r6w,wuhu-1
208,S304,1,H,L,R,7jx3,wuhu-1
224,S309,1,A,B,R,7r6w,wuhu-1
29235,C002,1,H,L,A,7k8s,wuhu-1
29251,C105,1,H,L,C,6xcm,wuhu-1
29267,C110,1,H,L,A,7k8v,wuhu-1
